id,name,description
63,이황식당,"츠케멘, 신라멘, 돈코츠라멘, 바질라멘, 차슈을 제공하는 일식 음식점"
64,고다이 주방 점심저녁정식,"새우후라이차슈라멘 정식, 김치우동나베, 삿포로 삼겹살 부타동, 가슴속까지 시원한 급냉 냉 메밀소바, 쿄토 온溫소바를 제공하는 일식 음식점"
65,코이라멘 분당판교점,"중화소바, 오리지날라멘, 매운라멘, 차슈덮밥, 마제소바를 제공하는 일식 음식점"
66,고쿠텐 판교점,"고쿠텐동, 장어텐동, 새우텐동, 로우텐동, 유자토마토을 제공하는 일식 음식점"
67,르메콩,"소고기 쌀국수, 분짜, 나시고렝, 팟타이, 꿔이을 제공하는 아시아식 음식점"
68,조이포,"분짜, 똠양갈비쌀국수, 삼겹살팟타이, 소고기쌀국수, 매운쌀국수을 제공하는 아시아식 음식점"
69,홍호아 판교점,"양지 쌀국수, 매운양지 쌀국수, 껌승인세트, 직화바비큐반미세트, 반미세트을 제공하는 아시아식 음식점"
70,마마스포,"뿌님팟퐁커리, 팟타이 꿍, 똠양쌀국수, 칠리크랩, 치킨매실탕수육을 제공하는 아시아식 음식점"
71,진부엉이꼬마김밥,"찐꼬마김밥 줄, 매콤어묵꼬마김밥 줄, 스페셜  줄, 스페셜  줄을 제공하는 분식 음식점"
72,청년다방 판교테크노밸리점,"틈새매운어묵떡볶이, 불향차돌떡볶이, 통큰오짱떡볶이, 마라로제떡볶이, 떡튀순떡볶이을 제공하는 분식 음식점"
73,기름짜는김밥집,"오뎅, 김치볶음밥, 참치덮밥, 고구마돈까스, 들기름김밥을 제공하는 분식 음식점"
74,헬키푸키 판교점,"키토김밥, 크래미 키토김밥, 치즈 키토김밥, 참치 키토김밥, 베이컨 키토김밥을 제공하는 분식 음식점"
75,상아김밥 판교점,"상아김밥, 참치와사비키토, 상아떡볶이, 특제참치주먹밥, 야채김밥을 제공하는 분식 음식점"
76,디엣테이블,"소불고기 키토김밥, 참치마요 키토김밥, 통새우 키토김밥, 치킨텐더 키토김밥, 기본 키토김밥을 제공하는 분식 음식점"
77,소풍,"김밥, 떡볶이, 순대, 튀김범벅, 어묵인분개을 제공하는 분식 음식점"
78,애비로드샌드위치 판교점,"야채듬뿍김밥, 햄치즈에그샌드위치, HOT 아메리카노, ICE 아메리카노, 애비로드 세트 A를 제공하는 분식, 패스트푸드 음식점"
79,후루룩손칼국수,"국산콩국수, 한그릇바지락칼국수, 한그릇바지락수제비, 얼큰 만두전골, 바지락칼국수을 제공하는 한식 음식점"
80,오봉집 판교유스페이스점,"부추전, 김치전, 오봉스페셜, 매생이연포보쌈, 가브리수육전골을 제공하는 한식 음식점"
81,달빛어시장,"광어회, 육회탕탕이, 도다리 세꼬시, 안면도참소라, 제주 뿔소라를 제공하는 일식 음식점"
82,제비면가 판교본점,"수제비, 칼국수, 매생이굴국밥, 통영굴 수제비, 통영굴 칼국수을 제공하는 한식, 분식 음식점"
83,청춘면가 판교점,"맵소, 맵닭, 맛잇소, 맛잇닭을 제공하는 한식 음식점"
84,고향옥얼큰순대국 삼평점,"얼큰순대국, 순순대국, 뼈해장국, 얼큰내장국밥, 얼큰수육국밥을 제공하는 한식 음식점"
85,안동국시소호정 T-VALLEY점,"국시, 국밥, 수육 대, 전 대, 메밀묵 대을 제공하는 한식 음식점"
86,조재벌식당,"부대찌개, 한우국밥, 김치찌개, 두루치기, 삼겹살을 제공하는 한식 음식점"
87,기달임 돼지곰탕 본점,"돼지곰탕특, 돼지곰탕보통, 유자수육, 잔술을 제공하는 한식 음식점"
88,나진국밥 판교점,"술상한상A, 술상한상B, 갓수육소, 갓수육대, 수육소을 제공하는 한식 음식점"
89,춘업순댓국 본점,"술국, 순대곱창전골-중, 모듬순대, 보통순댓국, 얼큰순댓국을 제공하는 한식 음식점"
90,한촌설렁탕 판교테크노밸리점,"떡국설렁탕, 수만두설렁탕, 신메뉴 왕 갈비탕, 설렁탕, 양곰탕을 제공하는 한식 음식점"
91,제주은희네해장국 판교점,"해장국, 내장탕, 돔베고기 소, 중, 대, 양무침을 제공하는 한식 음식점"
92,재크와 콩나물,"콩나물국밥, 데친통오징어, 왕계란말이, 황태계란탕, 불오징어볶음을 제공하는 한식 음식점"
93,평안,"물냉면, 빨간맛곰탕, 미나리곰탕, 만두pc, 만둣국을 제공하는 한식 음식점"
94,탄탄면공방 판교테크노밸리점,"인 탄탄세트, 탄탄교자세트, 인 혼탄세트, 탄탄면, 얼큰탄탄국밥을 제공하는 한식, 아시아식 음식점"
95,서울전통육개장 판교하이펙스점,"한판보쌈, 만두반접시, 메밀전병, 감자전, 보양갈비탕을 제공하는 한식 음식점"
96,평가옥 판교점,"명품 만두전골 인, 국수 전골 인, 편육 소, 수육 소, 평양냉면을 제공하는 한식 음식점"
97,즐삼 생고기,"통돼지김치찌개, 무한 돼지, 무한 소, 무한소곱창을 제공하는 한식 음식점"
98,소메랑,"곱창모듬, C세트 곱창대창막창특양, B 세트 곱창대창막창, A세트 곱창막창, 특양구이을 제공하는 한식 음식점"
99,이야기둘,"꽃등심구이, 이야기 한상 세트, 한우 등골 사시미 한판, 점심특선 야끼니쿠 반상인 정식, 점심특선 샤브샤브 반상인 정식을 제공하는 한식 음식점"
100,마포갈비집 판교점,"마포돼지갈비, 숙성삼겹살, 숙성목살, 숙성갈매기살, 한우 차돌박이을 제공하는 한식 음식점"
101,오투닭갈비&부대찌개 판교테크노벨리점,"오투닭갈비, 치즈듬뿍닭갈비, 낙지닭갈비, 부대찌개을 제공하는 한식 음식점"
102,부대집 판교본점,"부대집 부대전골, 우삼겹 부대전골, 부대집 부대찌개, 우삼겹 부대볶음, 햄소세지 사리을 제공하는 한식 음식점"
103,369부대찌개앤생삼겹살,"부대찌개, 두루치기, 생삼겹살, 제주 오겹살 두루치기, 개성 왕만두 개을 제공하는 한식 음식점"
104,이태리부대찌개 판교점,"부대찌개, 부대전골, 부대볶음, 우삼겹부대복음, 돈가스을 제공하는 한식 음식점"
105,삼군김치찌개,"김치찌개 낮밤, 목살김치찜 인이상 낮밤, 직화제육 낮밤, 숯붗고기 낮밤, 치즈계란말이 낮밤을 제공하는 한식 음식점"
106,김치도가 판교점,"고기듬뿍김치찌개가마솥밥, 꽁치김치찌개가마솥밥, 햄듬뿍김치찌개가마솥밥, 계란말이, 묵은지오겹살을 제공하는 한식 음식점"
107,라무진 판교점,"징기스칸 양갈비, 징기스칸 프렌치렉, 마늘밥, 오뎅탕을 제공하는 한식 음식점"
108,행복한집숯불갈비,"한우 생 갈비살, 한돈 수제 돼지갈비, 목살갈비 양념구이, 삼겹살, 왕 갈비탕을 제공하는 한식 음식점"
109,문막집,"문어보쌈, 비빔 막국수, 들기름 막국수, 물 막국수을 제공하는 한식 음식점"
110,조마루감자탕 판교점,"뼈다귀 감자탕, 뼈다귀해장국, 우거지만두해장국을 제공하는 한식 음식점"
111,찬,"짜장면, 간짜장, 마파두부면, 차돌 마라탕면, 삼선간짬뽕을 제공하는 패스트푸드, 중식 음식점"
112,신라마라탕 판교점,"마라샹궈, 마라탕, 마라반, 꿔바로우, 양저우볶음밥을 제공하는 중식 음식점"
113,울프스덴,"스테이크, 뇨끼, 파스타, 와인페어링, 리조또을 제공하는 패스트푸드, 양식 음식점"
114,비눔 판교점,"모듬플래터, 치즈 플래터, Lunch 회오리오므라이스, Lunch 명란 로제 파스타, 글라스와인을 제공하는 양식 음식점"
115,데이빗앤룰스 판교점,"Porterhouse g, 평일 Lunch Course, New York Stripg, Filet Mignon g, Caesar Salad을 제공하는 양식 음식점"
116,챠오바라이트 판교점,"오리지널 시카고피자, 깔조네 피자, 슈퍼 슈프림 시카고피자, 게살 날치알 크림 파스타, 누룽지 해물 파스타를 제공하는 양식 음식점"
117,호미스피자 판교점,"호미스 치즈 피자, 익스트림 페퍼로니 피자, 블랙맘바 포테이토 피자, 클래식 콤비네이션 피자, 베이컨 체다 딥 피자를 제공하는 양식 음식점"
118,단,"가이센동, 사케동, 혼마구로동, 규동, 도리데리야끼동을 제공하는 일식, 양식 음식점"
119,샐러디 판교테크노밸리점,"탄단지 샐러디, 로스트닭다리살 샐러디, 우삼겹메밀면 누들볼, 칠리베이컨 포케볼, 에그베이컨 샌드을 제공하는 패스트푸드, 양식 음식점"
120,슬로우캘리 판교점,"스파이시 참치 포케, 클래식 연어 포케, 블랙페퍼 치킨 보울, 부채살 스테이크 보울, 닭가슴살 에그 포케을 제공하는 패스트푸드, 양식 음식점"
121,프레시크레딧 판교에이치스퀘어점,"햄에그 샌드위치을 제공하는 패스트푸드, 양식 음식점"
122,올레샐러드,"부채살스테이크 샐러드, 연어 포케, 알리오올리오 파스타, 아보카도 샐러드, 에그마요 샐러드을 제공하는 양식 음식점"
123,하이라이트키친 판교점,"헬짱비빔밥, 포케, 또띠아샐러드을 제공하는 양식 음식점"
124,올라포케 판교점,"인포케 스프세트, 인 혼밥 든든세트, 데리야끼 풀드포크 랩, 스리라차닭가슴살 랩, 비건토마토 스프을 제공하는 양식 음식점"
125,픽유어온샐러드,"페퍼카우우삼겹 샐러드, 방탄커피, 그릴드치킨 샐러드, 치킨시저 샐러드, 아보카도 샐러드을 제공하는 패스트푸드, 양식 음식점"
126,샐러드박스 판교H스퀘어점,"오븐닭다리살샐러드, 매콤오븐닭다리살샐러드, 부채살스테이크샐러드, 비건스테이크샐러드, 양념소불고기샐러드을 제공하는 양식 음식점"
127,프레퍼스 다이어트 푸드 판교점,치킨 플레이트을 제공하는 양식 음식점
128,까사논나,"문어파스타, 부라타치즈 토마토파스타, 한우 라자냐, 트러플 후렌치후라이, 카모마일차를 제공하는 양식 음식점"
129,클준빛날영,"파이탄라멘, 매운라멘, 쇼유라멘, 차슈덮밥, 스몰라멘을 제공하는 일식 음식점"
130,큐슈울트라아멘 판교점,"울트라아멘, 울트라아동, 돈코츠 시오라아멘소금, 돈코츠 소유라아멘간장, 돈코츠 미소라아멘된장을 제공하는 일식 음식점"
131,스시가오,"모둠사시미 중, 토마토해물탕, 대패숙주볶음, 패스츄리 소세지, 항정살구이을 제공하는 일식 음식점"
132,소바니우동,"덴푸라 냉우동 붓카케우동, 덴푸라 우동, 니꾸우동, 카레우동, 규카레우동을 제공하는 일식 음식점"
133,효카츠,"효카츠, 콤보카츠히레치즈, 히레카츠, 치즈카츠, 로스카츠을 제공하는 일식 음식점"
134,백소정 판교점,"마라마제소바돈카츠, 사바온소바, 우나기온소바, 마제소바돈카츠, 모짜렐라치즈카츠을 제공하는 일식 음식점"
135,팔각도 판교유스페이스점,"숯불 닭갈비, 오독 오독 닭 연골, 쫄깃 쫄깃 닭 목살, 매콤 꼬들 닭 안창살, 매콤 튤립 닭발을 제공하는 한식 음식점"
136,이든활어,"활어종, 이든스시, 스시정식, 대광어, 참가자미세꼬시을 제공하는 일식 음식점"
137,스시쿤,"디너 테이블오마카세, 런치 카운터오마카세, 디너카운터오마카세, 런치 테이블오마카세을 제공하는 일식 음식점"
138,스시히로,"디너 오마카세, 런치 오마카세을 제공하는 일식 음식점"
139,오이소,카이센동을 제공하는 일식 음식점
140,키친쥰,"간사이덴뿌라우동, 돈카츠카레우동, 애비카레우동, 에비카레, 가라아게 카레을 제공하는 일식 음식점"
141,토호,"호르몬동, 스테이크덮밥, 연어덮밥, 김치규동, 규동을 제공하는 일식 음식점"
142,깡우동 판교유스페이스점,"고기만두, 수제탕수육, 어묵우동, 우동, 어묵탕을 제공하는 일식 음식점"
143,문어집,"겨울한정 대방어 상차림, 대방어상차림, 돌문어  대방어 ~인 상차림을 제공하는 일식 음식점"
144,종로계림닭도리탕원조 판교점,닭도리탕을 제공하는 한식 음식점
145,카레뜰에,"돈코츠라멘, 돈까스, 치킨까스, 고로케, 뜰에기본을 제공하는 일식 음식점"
146,슈퍼타이 판교테크노벨리점,"텃만꿍, 쏨땀, 카오팟뿌, 팟타이, 똠얌꿍을 제공하는 아시아식 음식점"
147,타이팔칠,"팟타이, 소고기쌀국수, 똠얌쌀국수, 뿌팟풍커리, 나시고랭을 제공하는 아시아식 음식점"
148,파스타 라이더스 판교점,"삼겹까르보나라, 새우폭탄알리오올리오, 갈릭알리오올리오, 까르보나라, 해물토마토파스타를 제공하는 양식 음식점"
149,BBQ치킨 판교테크노밸리점,"맵소디, 한입등갈비튀김, 핫베이크 닭다리, 핫베이크 윙, 땡초숯불양념치킨을 제공하는 패스트푸드 음식점"
150,바스버거 판교테크노밸리점,"치즈버거담백하고 고소한 패티, 바스버거담백고소에 신선한 맛, 핫치킨 디럭스 닭다리살, 하와이안 버거구운 파인애플의 불향, 와사비마요 쉬림프버거통새우 한가득을 제공하는 패스트푸드 음식점"
